"A továbbszámított népesség száma megyék és a település jogállása szerint"
"Magyaroszág lakónépessége"



" ";"Mutatók";
"Idõszak";"Nem";"Korév";"Terület";"Népesség száma január 1-jén (fõ)";"Évközepi népesség száma (fõ)";
"2017. év";"Férfi";"0 -  4 éves";"Budapest";"42980";"42506,0";
"";"";"";"Pest megye";"34052";"34389,5";
"";"";"";"Fejér megye";"9900";"9934,0";
"";"";"";"Komárom-Esztergom megye";"7455";"7450,0";
"";"";"";"Veszprém megye";"7773";"7756,5";
"";"";"";"Gyõr-Moson-Sopron megye";"11113";"11303,0";
"";"";"";"Vas megye";"5432";"5464,0";
"";"";"";"Zala megye";"5561";"5599,5";
"";"";"";"Baranya megye";"8100";"8106,5";
"";"";"";"Somogy megye";"6637";"6670,0";
"";"";"";"Tolna megye";"4963";"4947,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"17334";"17452,0";
"";"";"";"Heves megye";"6980";"7022,5";
"";"";"";"Nógrád megye";"4307";"4331,5";
"";"";"";"Hajdú-Bihar megye";"13399";"13507,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"14897";"14944,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"8996";"9061,5";
"";"";"";"Bács-Kiskun megye";"11943";"12061,5";
"";"";"";"Békés megye";"6793";"6796,0";
"";"";"";"Csongrád megye";"8719";"8818,0";
"";"";"5 - 9  éves";"Budapest";"42246";"42096,5";
"";"";"";"Pest megye";"36645";"36857,5";
"";"";"";"Fejér megye";"10421";"10379,5";
"";"";"";"Komárom-Esztergom megye";"7316";"7343,5";
"";"";"";"Veszprém megye";"8089";"8067,0";
"";"";"";"Gyõr-Moson-Sopron megye";"11624";"11659,0";
"";"";"";"Vas megye";"5649";"5612,5";
"";"";"";"Zala megye";"6032";"5955,5";
"";"";"";"Baranya megye";"8815";"8730,5";
"";"";"";"Somogy megye";"6808";"6718,5";
"";"";"";"Tolna megye";"5201";"5157,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"17008";"16849,0";
"";"";"";"Heves megye";"7158";"7082,5";
"";"";"";"Nógrád megye";"4386";"4334,5";
"";"";"";"Hajdú-Bihar megye";"13199";"13030,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"14813";"14613,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"9154";"9055,0";
"";"";"";"Bács-Kiskun megye";"12172";"12052,0";
"";"";"";"Békés megye";"7329";"7207,0";
"";"";"";"Csongrád megye";"9095";"8997,0";
"";"";"10 - 14 éves";"Budapest";"36809";"37254,5";
"";"";"";"Pest megye";"36264";"36682,0";
"";"";"";"Fejér megye";"10715";"10716,5";
"";"";"";"Komárom-Esztergom megye";"7596";"7597,5";
"";"";"";"Veszprém megye";"8460";"8487,5";
"";"";"";"Gyõr-Moson-Sopron megye";"11685";"11770,0";
"";"";"";"Vas megye";"6226";"6201,0";
"";"";"";"Zala megye";"6292";"6302,0";
"";"";"";"Baranya megye";"9151";"9149,0";
"";"";"";"Somogy megye";"7741";"7698,0";
"";"";"";"Tolna megye";"5534";"5496,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"18383";"18278,5";
"";"";"";"Heves megye";"7685";"7673,0";
"";"";"";"Nógrád megye";"5113";"5062,0";
"";"";"";"Hajdú-Bihar megye";"14277";"14260,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"16447";"16345,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"10030";"9970,0";
"";"";"";"Bács-Kiskun megye";"13065";"13039,5";
"";"";"";"Békés megye";"8647";"8521,0";
"";"";"";"Csongrád megye";"9743";"9751,0";
"";"";"15 - 19 éves";"Budapest";"34742";"34768,0";
"";"";"";"Pest megye";"34178";"34339,5";
"";"";"";"Fejér megye";"10585";"10641,5";
"";"";"";"Komárom-Esztergom megye";"7616";"7621,0";
"";"";"";"Veszprém megye";"8472";"8413,0";
"";"";"";"Gyõr-Moson-Sopron megye";"11696";"11719,5";
"";"";"";"Vas megye";"6298";"6291,5";
"";"";"";"Zala megye";"6581";"6465,0";
"";"";"";"Baranya megye";"9438";"9391,0";
"";"";"";"Somogy megye";"8010";"7932,0";
"";"";"";"Tolna megye";"5845";"5796,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20083";"19737,0";
"";"";"";"Heves megye";"8475";"8375,0";
"";"";"";"Nógrád megye";"5103";"5120,0";
"";"";"";"Hajdú-Bihar megye";"15668";"15557,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"18016";"17595,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"10050";"10046,0";
"";"";"";"Bács-Kiskun megye";"13408";"13386,0";
"";"";"";"Békés megye";"9251";"9205,5";
"";"";"";"Csongrád megye";"10217";"10222,0";
"";"";"20 - 24 éves";"Budapest";"48934";"48241,5";
"";"";"";"Pest megye";"38010";"37590,0";
"";"";"";"Fejér megye";"13080";"12693,5";
"";"";"";"Komárom-Esztergom megye";"9231";"9084,0";
"";"";"";"Veszprém megye";"10872";"10733,5";
"";"";"";"Gyõr-Moson-Sopron megye";"14152";"13901,0";
"";"";"";"Vas megye";"7442";"7393,5";
"";"";"";"Zala megye";"7628";"7481,5";
"";"";"";"Baranya megye";"11894";"11790,5";
"";"";"";"Somogy megye";"9541";"9375,5";
"";"";"";"Tolna megye";"6917";"6742,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"22485";"22260,0";
"";"";"";"Heves megye";"9061";"8975,5";
