"Year";"Sex";"Age";"County";"PopJan1";"PopMidYear"
1990;"Férfi";0;"Budapest";49134;49325,5
1990;"Férfi";0;"Pest megye";29562;29470,5
1990;"Férfi";0;"Fejér megye";14195;14195,5
1990;"Férfi";0;"Komárom-Esztergom megye";10130;10032,5
1990;"Férfi";0;"Veszprém megye";12354;12322,5
1990;"Férfi";0;"Gyõr-Moson-Sopron megye";12738;12681
1990;"Férfi";0;"Vas megye";8228;8222,5
1990;"Férfi";0;"Zala megye";9371;9247,5
1990;"Férfi";0;"Baranya megye";12644;12632
1990;"Férfi";0;"Somogy megye";10236;10210
1990;"Férfi";0;"Tolna megye";8011;7987
1990;"Férfi";0;"Borsod-Abaúj-Zemplén megye";26595;26420
1990;"Férfi";0;"Heves megye";9702;9670,5
1990;"Férfi";0;"Nógrád megye";6720;6708,5
1990;"Férfi";0;"Hajdú-Bihar megye";18792;18784,5
1990;"Férfi";0;"Szabolcs-Szatmár-Bereg megye";21515;21261,5
1990;"Férfi";0;"Jász-Nagykun-Szolnok megye";13689;13677,5
1990;"Férfi";0;"Bács-Kiskun megye";16962;17026
1990;"Férfi";0;"Békés megye";12544;12410
1990;"Férfi";0;"Csongrád megye";12686;12723
1990;"Férfi";5;"Budapest";54328;53542
1990;"Férfi";5;"Pest megye";31168;30877,5
1990;"Férfi";5;"Fejér megye";14788;14630
1990;"Férfi";5;"Komárom-Esztergom megye";10424;10337
1990;"Férfi";5;"Veszprém megye";13724;13471
1990;"Férfi";5;"Gyõr-Moson-Sopron megye";14265;13989,5
1990;"Férfi";5;"Vas megye";8996;8797
1990;"Férfi";5;"Zala megye";10081;9984
1990;"Férfi";5;"Baranya megye";13216;13031,5
1990;"Férfi";5;"Somogy megye";11010;10883,5
1990;"Férfi";5;"Tolna megye";8667;8581,5
1990;"Férfi";5;"Borsod-Abaúj-Zemplén megye";27015;26656,5
1990;"Férfi";5;"Heves megye";10558;10388
1990;"Férfi";5;"Nógrád megye";7345;7222
1990;"Férfi";5;"Hajdú-Bihar megye";19268;19046
1990;"Férfi";5;"Szabolcs-Szatmár-Bereg megye";22272;22035,5
1990;"Férfi";5;"Jász-Nagykun-Szolnok megye";14553;14285,5
1990;"Férfi";5;"Bács-Kiskun megye";17400;17156
1990;"Férfi";5;"Békés megye";13115;12931,5
1990;"Férfi";5;"Csongrád megye";13163;13020
1990;"Férfi";10;"Budapest";76380;74465,5
1990;"Férfi";10;"Pest megye";41749;40561,5
1990;"Férfi";10;"Fejér megye";19583;19016
1990;"Férfi";10;"Komárom-Esztergom megye";13866;13401
1990;"Férfi";10;"Veszprém megye";17117;16745,5
1990;"Férfi";10;"Gyõr-Moson-Sopron megye";19191;18662
1990;"Férfi";10;"Vas megye";11820;11485,5
1990;"Férfi";10;"Zala megye";13015;12670,5
1990;"Férfi";10;"Baranya megye";17135;16689,5
1990;"Férfi";10;"Somogy megye";14353;13960
1990;"Férfi";10;"Tolna megye";10745;10431
1990;"Férfi";10;"Borsod-Abaúj-Zemplén megye";33093;32317,5
1990;"Férfi";10;"Heves megye";13815;13322
