"Age";"StdESP2013";"StdSegiDoll1960";"StdWHO2001";"Sex";"StdHUN"
0;50000;120000;88569;"Férfi";351137904
0;50000;120000;88569;"Nõ";333049152
5;55000;100000;86870;"Férfi";370255968
5;55000;100000;86870;"Nõ";351535872
10;55000;90000;85970;"Férfi";400213008
10;55000;90000;85970;"Nõ";380817072
15;55000;90000;84670;"Férfi";444008688
15;55000;90000;84670;"Nõ";424534992
20;60000;80000;82171;"Férfi";495414864
20;60000;80000;82171;"Nõ";473525808
25;60000;80000;79272;"Férfi";540220128
25;60000;80000;79272;"Nõ";517623072
30;65000;60000;76073;"Férfi";555502944
30;65000;60000;76073;"Nõ";537714912
35;70000;60000;71475;"Férfi";536370912
35;70000;60000;71475;"Nõ";524311632
40;70000;60000;65877;"Férfi";483727440
40;70000;60000;65877;"Nõ";484460832
45;70000;60000;60379;"Férfi";483790560
45;70000;60000;60379;"Nõ";504249840
50;70000;50000;53681;"Férfi";486617424
50;70000;50000;53681;"Nõ";532730256
55;65000;40000;45484;"Férfi";459626544
55;65000;40000;45484;"Nõ";532780896
60;60000;40000;37187;"Férfi";384312768
60;60000;40000;37187;"Nõ";483987792
65;55000;30000;29590;"Férfi";303045312
65;55000;30000;29590;"Nõ";426025392
70;50000;20000;22092;"Férfi";237659760
70;50000;20000;22092;"Nõ";378918528
75;40000;10000;15195;"Férfi";169490304
75;40000;10000;15195;"Nõ";314873904
80;25000;5000;9097;"Férfi";100990128
80;25000;5000;9097;"Nõ";219638976
85;25000;5000;6348;"Férfi";58045824
85;25000;5000;6348;"Nõ";152642160
